										
권리사 지역	권리사	권리사 유형	유통사분류	유통사	아티스트분류	아티스트	 음원명 	 곡수 	 2022년 	 2023년 
 국내 	 +기억 프로젝트 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 非아이돌 	 우디(Woody) 	 Nostalgia 	 1 		 1 
 국내 	 +기억 프로젝트 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 非아이돌 	 HYNN(박혜원) 	 친구라도 될 걸 그랬어 	 1 	 1 	
 국내 	 131 LABEL 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 B.I 	 겁도 없이 (feat. BIG Naughty) 	 1 		 1 
 국내 	 325 이엔씨 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 엠씨더맥스 (M.C The Max) 	 흩어지지 않게 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Attention 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Cookie 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Ditto 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Hurt 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Hype boy 	 1 	 1 	 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 OMG 	 1 		 1 
 국내 	 ADOR 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 NewJeans 	 Zero 	 1 		 1 
 국내 	 Ambition Musik 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 ASH ISLAND 	 Because 	 1 	 1 	
 국내 	 Ambition Musik 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 릴러말즈 (Leellamarz) 	 OUT OF MY SIGHT 	 1 	 1 	
 국내 	 Ambition Musik 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 Paul Blanco 	 Summer (Feat. BE`O (비오)) 	 1 	 1 	
 국내 	 Ambition Musik 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 ASH ISLAND 	 작별인사 (Feat. Paul Blanco) 	 1 		 1 
