년도	월	앨범명	앨범유형	플랫폼 앨범 종류	아티스트명	유형	음반 판매량	유통사
2022년	01월	DIMENSION : ANSWER	피지컬앨범		ENHYPEN	보이그룹	723,478	지니뮤직, Stone Music Entertainment
2022년	01월	2021 Winter SMTOWN : SMCU EXPRESS	피지컬앨범		SMTOWN	프로젝트그룹	347,434	Dreamus
2022년	01월	FIRST IMPACT	피지컬앨범		Kep1er (케플러)	걸그룹	300,099	지니뮤직, Stone Music Entertainment
2022년	01월	Universe - The 3rd Album	피지컬앨범		NCT	보이그룹	152,476	Dreamus
2022년	01월	Midnight Guest	피지컬앨범		프로미스나인 (fromis_9)	걸그룹	134,003	YG PLUS
2022년	01월	DISHARMONY : FIND OUT	피지컬앨범		P1Harmony	보이그룹	101,361	Kakao Entertainment
2022년	01월	B	피지컬앨범		뱀뱀 (BamBam)	남자솔로	100,468	Kakao Entertainment
2022년	01월	LOVE ME LIKE	피지컬앨범		OMEGA X (오메가엑스)	보이그룹	88,151	다날엔터테인먼트
2023년	03월	ME	피지컬앨범		지수 (JISOO)	여자솔로	875,922	YG PLUS
2022년	01월	IN:VITE U	피지컬앨범		펜타곤 (PENTAGON)	보이그룹	76,260	Kakao Entertainment
2022년	01월	Restore	피지컬앨범		진진&라키	남성듀오	70,145	Kakao Entertainment
2022년	01월	6equence	피지컬앨범		문별	남자솔로	69,499	Kakao Entertainment
2022년	01월	ELEVEN	피지컬앨범		IVE (아이브)	걸그룹	60,248	Kakao Entertainment
2023년	08월	ZONE	피지컬앨범		지효 (TWICE)	여자솔로	599,022	Dreamus
2022년	01월	CRAZY IN LOVE	피지컬앨범		ITZY (있지)	걸그룹	58,451	Dreamus
2022년	01월	Chronograph	피지컬앨범		VICTON (빅톤)	보이그룹	58,341	Kakao Entertainment
2022년	01월	Illusion	피지컬앨범		김요한	남자솔로	55,194	Kakao Entertainment
2022년	01월	LOVE.	피지컬앨범		Def.	남자솔로	52,724	Warner Music
2022년	01월	COMPLETE WITH YOU	피지컬앨범		AB6IX (에이비식스)	보이그룹	51,824	Warner Music
2022년	01월	Love Story (4 Season Project 季) - The 4th Mini Album	피지컬앨범		규현 (KYUHYUN)	남자솔로	51,125	Dreamus
2022년	01월	Instinct Part. 2	피지컬앨범		OnlyOneOf (온리원오브)	보이그룹	51,090	지니뮤직, Stone Music Entertainment
2022년	01월	Marvelous - 3rd Mini Album	피지컬앨범		미래소년 (MIRAE)	보이그룹	49,560	Kakao Entertainment
