타입	아티스트명	앨범명	곡명	투자구분	서비스적용일(+이관일)	권리사(LH)
싱글	Wool	나를 떠난 너를	나를 떠난 너를	일반	2025-08-25	(주)넥스타엔터테인먼트
싱글	Wool	나를 떠난 너를	나를 떠난 너를 (Inst.)	일반	2025-08-25	(주)넥스타엔터테인먼트
EP	조소정	봄과 여름의 인털루드 (Seasonal Interlude No.1)	0	일반	2025-08-24	조소정
EP	조소정	봄과 여름의 인털루드 (Seasonal Interlude No.1)	사계절은 왜	일반	2025-08-24	조소정
EP	조소정	봄과 여름의 인털루드 (Seasonal Interlude No.1)	나의 초록	일반	2025-08-24	조소정
EP	조소정	봄과 여름의 인털루드 (Seasonal Interlude No.1)	여름을빌려	일반	2025-08-24	조소정
EP	조소정	봄과 여름의 인털루드 (Seasonal Interlude No.1)	유영 (Remastered)	일반	2025-08-24	조소정
싱글	한다감	Magic Sunshine	Magic Sunshine (Feat. 김용현 & 이선구)	선급	2025-08-23	(주)비티엔터테인먼트
싱글	한다감	Magic Sunshine	Magic Sunshine (Inst.)	선급	2025-08-23	(주)비티엔터테인먼트
싱글	LONA (로나)	못 바꿔 (RIGHT)	못 바꿔 (RIGHT)	일반	2025-08-23	사구오(구.조정우)
싱글	FIFTY FIFTY	TAKE MY HAND (함께학교 캠페인송)	TAKE MY HAND (함께학교 캠페인송)	일반	2025-08-22	주식회사 갈락티카
싱글	FIFTY FIFTY	TAKE MY HAND (함께학교 캠페인송)	TAKE MY HAND (함께학교 캠페인송) (Inst.)	일반	2025-08-22	주식회사 갈락티카
정규	콩순이	콩순이의 율동교실 16	NEW 곰 세 마리송	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	일어나요 아침송	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 공룡송 1	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 콩순이 소방대	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 치카치카 송	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 공룡송 2	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 곰 세 마리송 (MR)	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	일어나요 아침송 (MR)	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 공룡송 1 (MR)	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 콩순이 소방대 (MR)	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 치카치카 송 (MR)	일반	2025-08-22	주식회사 영실업
정규	콩순이	콩순이의 율동교실 16	NEW 공룡송 2 (MR)	일반	2025-08-22	주식회사 영실업
정규	이채연	남주서치 OST	DUMB	일반	2025-08-21	주식회사 알비더블유
정규	아거 (AGER)	남주서치 OST	봄바람	일반	2025-08-21	주식회사 알비더블유
정규	효정 (오마이걸)	남주서치 OST	내일 만나면 좋아한다 말해줘	일반	2025-08-21	주식회사 알비더블유
