날짜	년도	순위	곡수	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2021-01-01	2021년	1	1	91829432	우린 어쩌다 헤어진 걸까	허각	Hello	2020-12-28	2020년	발라드	가요	주식회사 카카오엠	㈜플레이엠엔터테인먼트
2021-01-01	2021년	2	1	91854697	나로 바꾸자 (Duet With JYP)	비	나로 바꾸자	2020-12-31	2020년	댄스	가요	주식회사 카카오엠	써브라임 아티스트 에이전시, (주)JYP엔터테인먼트
2021-01-01	2021년	3	1	91423133	VVS (Feat. JUSTHIS) (Prod. by GroovyRoom)	미란이 (MIRANI) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	4	1	91840671	요즘	양다일	요즘	2020-12-29	2020년	발라드	가요	주식회사 카카오엠	브랜뉴뮤직 (Brand New Music)
2021-01-01	2021년	5	1	90705547	Dynamite	방탄소년단	Dynamite (DayTime Ver.)	2020-08-21	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	6	1	91361957	밤하늘의 별을 (2020)	경서	밤하늘의 별을 (2020)	2020-11-14	2020년	인디	가요	주식회사 카카오엠	꿈의 엔진
2021-01-01	2021년	7	1	91666269	What Do I Call You	태연 (TAEYEON)	What Do I Call You - The 4th Mini Album	2020-12-15	2020년	R&B/소울	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	8	1	91134598	잠이 오질 않네요	장범준	잠이 오질 않네요	2020-10-24	2020년	발라드	가요	주식회사 카카오엠	㈜버스커버스커
2021-01-01	2021년	9	1	91613328	For You (Feat. Crush)	이하이	For You	2020-12-16	2020년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-01-01	2021년	10	1	91716684	ON AIR (Feat. 로꼬 & 박재범 & GRAY)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	11	1	91423137	Life Goes On	방탄소년단	BE	2020-11-20	2020년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	12	1	91563412	내일이 오면 (Feat. 기리보이 & BIG Naughty (서동현))	릴보이 (lIlBOI)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	13	1	91716688	CREDIT (Feat. 염따 & 기리보이 & Zion.T)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	14	1	91664636	한잔이면 지워질까	황인욱	한잔이면 지워질까	2020-12-15	2020년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-01-01	2021년	15	1	91750851	서로를 위한 것	나얼	서로를 위한 것	2020-12-21	2020년	발라드	가요	주식회사 카카오엠	인넥스트트렌드, 롱플레이뮤직
2021-01-01	2021년	16	1	90947953	Lovesick Girls	BLACKPINK	THE ALBUM	2020-10-02	2020년	댄스	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-01-01	2021년	17	1	91091923	힘든 건 사랑이 아니다	임창정	힘든 건 사랑이 아니다	2020-10-19	2020년	발라드	가요	(주)인터파크	㈜예스아이엠엔터테인먼트
2021-01-01	2021년	18	1	90960439	Savage Love (Laxed - Siren Beat) (BTS Remix)	Jawsh 685 & Jason Derulo & 방탄소년단	Savage Love (Laxed - Siren Beat) (BTS Remix)	2020-10-02	2020년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2021-01-01	2021년	19	1	90545014	취기를 빌려 (취향저격 그녀 X 산들)	산들	취기를 빌려 (취향저격 그녀 X 산들)	2020-07-20	2020년	인디	가요	주식회사 카카오엠	TOON STUDIO
2021-01-01	2021년	20	1	91768515	입김	10CM	5.1	2020-12-23	2020년	인디	가요	주식회사 카카오엠	매직스트로베리사운드
2021-01-01	2021년	21	1	91625443	악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. by 코드 쿤스트)	스윙스 (Swings)	쇼미더머니 9 Semi Final	2020-12-12	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	22	1	91466463	혼술하고 싶은 밤	벤	혼술하고 싶은 밤	2020-12-02	2020년	발라드	가요	(주)지니뮤직(펀드)	메이저나인
2021-01-01	2021년	23	1	91563409	Achoo (Feat. pH-1 & HAON) (Prod. by GroovyRoom)	미란이 (MIRANI)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	24	1	81461935	오래된 노래	Standing Egg (스탠딩 에그)	오래된 노래	2012-09-04	2012년	발라드	가요	주식회사 카카오엠	본(born)
2021-01-01	2021년	25	1	90178428	에잇 (Prod. & Feat. SUGA of BTS)	아이유 (IU)	에잇	2020-05-06	2020년	락	가요	주식회사 카카오엠	EDAM엔터테인먼트
2021-01-01	2021년	26	1	89320910	흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야	장범준	멜로가 체질 OST Part 3 (JTBC 금토 드라마)	2019-08-23	2019년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 삼화네트웍스
2021-01-01	2021년	27	1	91620457	잘할게	이승기	The Project	2020-12-10	2020년	발라드	가요	주식회사 카카오엠	(주)후크엔터테인먼트
2021-01-01	2021년	28	1	91563411	뿌리 (Feat. JUSTHIS) (Prod. by GroovyRoom)	Khundi Panda	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	29	1	90077755	이제 나만 믿어요	임영웅	내일은 미스터트롯 우승자 특전곡	2020-04-03	2020년	트로트	가요	주식회사 카카오엠	TV CHOSUN
2021-01-01	2021년	30	1	91423134	Freak (Prod. by Slom)	릴보이 (lIlBOI) & 원슈타인 & Chillin Homie & 스카이민혁 (Skyminhyuk)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	31	1	89613039	Blueming	아이유 (IU)	Love poem	2019-11-18	2019년	발라드	가요	주식회사 카카오엠	카카오엔터테인먼트
2021-01-01	2021년	32	1	90709438	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	규현 (KYUHYUN)	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	2020-08-23	2020년	발라드	가요	주식회사 카카오엠	TOON STUDIO, 느을
2021-01-01	2021년	33	1	91622433	Hate you	백예린 (Yerin Baek)	tellusboutyourself	2020-12-10	2020년	R&B/소울	가요	(주)드림어스컴퍼니(국내)	블루바이닐
2021-01-01	2021년	34	1	87840106	모든 날, 모든 순간 (Every day, Every Moment)	폴킴	'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)	2018-03-20	2018년	드라마	OST	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	35	1	90661587	When We Disco (Duet With 선미)	박진영	When We Disco	2020-08-12	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-01-01	2021년	36	1	91625438	고독하구만 (Feat. 수퍼비) (Prod. by GroovyRoom)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Semi Final	2020-12-12	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	37	1	91096604	딩가딩가 (Dingga)	마마무(Mamamoo)	딩가딩가 (Dingga)	2020-10-20	2020년	댄스	가요	주식회사 카카오엠	(주)RBW
2021-01-01	2021년	38	1	89815269	시작	가호 (Gaho)	이태원 클라쓰 OST Part.2 (JTBC 금토드라마)	2020-02-01	2020년	드라마	OST	주식회사 블렌딩(신)	㈜블렌딩
2021-01-01	2021년	39	1	82975165	Santa Tell Me	Ariana Grande	Santa Tell Me	2014-11-25	2014년	캐롤	그외장르	(주)유니버설뮤직(해외)	
2021-01-01	2021년	40	1	90021550	아로하	조정석	슬기로운 의사생활 OST Part 3 (tvN 목요드라마)	2020-03-27	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-01-01	2021년	41	1	89671512	너의 번호를 누르고 (Prod. by 영화처럼)	#안녕	너의 번호를 누르고	2019-11-30	2019년	인디	가요	(주)비타민엔터테인먼트(국내)	니즈먼트
2021-01-01	2021년	42	1	91290290	가을밤에 든 생각	잔나비	잔나비 소곡집 l	2020-11-06	2020년	인디	가요	주식회사 카카오엠	페포니 뮤직
2021-01-01	2021년	43	1	87538989	Snowman	Sia	Everyday Is Christmas (Snowman Deluxe Edition)	2022-12-30	2022년	팝	POP	워너뮤직코리아(주)(해외)	Monkey Puzzle, Atlantic
2021-01-01	2021년	44	1	91716681	가다 (Feat. 사이먼 도미닉 & The Quiett) (Prod. by SLO)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	45	1	90928056	밤하늘의 저 별처럼	헤이즈 (Heize) & 펀치 (Punch)	밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)	2020-09-27	2020년	드라마	OST	주식회사 카카오엠	냠냠엔터테인먼트
