날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2022-01-01	2022년	1	1	95514755	겨울잠	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	2	94932434	회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom)	sokodomo	쇼미더머니 10 Episode 2	2021-11-13	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	3	95299676	Counting Stars (Feat. Beenzino)	BE'O (비오)	Counting Stars	2021-12-12	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	페임어스 엔터테인먼트
2022-01-01	2022년	1	4	95038278	리무진 (Feat. MINO) (Prod. by GRAY)	BE'O (비오)	쇼미더머니 10 Episode 3	2021-11-20	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	5	95514753	드라마	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	6	95188110	ELEVEN	IVE (아이브)	ELEVEN	2021-12-01	이전발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2022-01-01	2022년	1	7	95038275	만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL)	베이식 (Basick)	쇼미더머니 10 Episode 3	2021-11-20	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	8	94535712	사랑은 늘 도망가	임영웅	신사와 아가씨 OST Part.2	2021-10-11	이전발매	드라마	OST	주식회사 벅스(BUGS Corporation)	모스트콘텐츠
2022-01-01	2022년	1	9	95376934	취중고백	김민석 (멜로망스)	취중고백	2021-12-19	이전발매	발라드	가요	(주)비타민엔터테인먼트(국내)	프로젝트 리본
2022-01-01	2022년	1	10	95514754	정거장	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	11	93300145	신호등	이무진	신호등	2021-05-14	이전발매	락	가요	주식회사 카카오엔터테인먼트	쇼플레이엔터테인먼트
2022-01-01	2022년	1	12	93336453	다정히 내 이름을 부르면	경서예지 & 전건호	다정히 내 이름을 부르면	2021-05-19	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	에버그로우
2022-01-01	2022년	1	13	94653222	strawberry moon	아이유 (IU)	strawberry moon	2021-10-19	이전발매	락	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	14	95129022	불협화음 (Feat. AKMU) (Prod. by GRAY)	Mudd the student	쇼미더머니 10 Semi Final	2021-11-27	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	15	93154148	문득	BE'O (비오)	Bipolar	2021-05-02	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	페임어스 엔터테인먼트
2022-01-01	2022년	1	16	93717294	Stay	The Kid LAROI & Justin Bieber	Stay	2021-07-09	이전발매	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2022-01-01	2022년	1	17	95214287	눈이 오잖아 (Feat. 헤이즈)	이무진	눈이 오잖아	2021-12-03	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	쇼플레이엔터테인먼트
2022-01-01	2022년	1	18	94844692	쉬어 (Feat. MINO) (Prod. by GRAY)	아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student	쇼미더머니 10 Episode 1	2021-11-06	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	19	95514756	너	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	20	95514757	러브레터	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-01-01	2022년	1	21	95211813	매일 크리스마스 (Everyday Christmas)	다비치	매일 크리스마스 (Everyday Christmas)	2021-12-06	이전발매	댄스	가요	STONE MUSIC ENTERTAINMENT(유통)	WAKEONE
2022-01-01	2022년	1	22	94500050	Savage	aespa	Savage - The 1st Mini Album	2021-10-05	이전발매	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-01-01	2022년	1	23	93330349	Next Level	aespa	Next Level	2021-05-17	이전발매	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-01-01	2022년	1	24	95298609	흰눈	먼데이 키즈 (Monday Kiz)	흰눈	2021-12-12	이전발매	발라드	가요	(주)비타민엔터테인먼트(국내)	프로젝트 리본
2022-01-01	2022년	1	25	90413574	OHAYO MY NIGHT	디핵 (D-Hack) & PATEKO	OHAYO MY NIGHT	2020-06-20	이전발매	랩/힙합	가요	(주)와이지플러스	NEOKIDZ
2022-01-01	2022년	1	26	94844691	Wake Up (Prod. by 코드 쿤스트)	개코 & 아우릴고트 (OUREALGOAT) & SINCE & 안병웅 & Tabber & 조광일	쇼미더머니 10 Episode 1	2021-11-06	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-01-01	2022년	1	27	94314085	너를 생각해	주시크 (Joosiq)	너를 생각해	2021-09-22	이전발매	인디	가요	(주)비타민엔터테인먼트(국내)	주식회사 레시피뮤직
2022-01-01	2022년	1	28	93619160	바라만 본다	MSG워너비 (M.O.M)	MSG워너비 1집	2021-06-26	이전발매	발라드	가요	STONE MUSIC ENTERTAINMENT(유통대행)	유야호
