일자	년도	곡수	순위	곡코드	곡명	아티스트명	앨범명	발매일	발매년도	앨범소장르	앨범대장르	유통사	기획사
2024-01-01	2024년	1	1	104534602	To. X	태연 (TAEYEON)	To. X - The 5th Mini Album	2023-11-27	이전 발매	R&B/소울	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	2	104098457	Perfect Night	LE SSERAFIM (르세라핌)	Perfect Night	2023-10-27	이전 발매	댄스	가요	(주)와이지플러스	쏘스뮤직
2024-01-01	2024년	1	3	82145527	첫 눈	EXO	겨울 스페셜 앨범 '12월의 기적 (Miracles in December)'	2013-12-09	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	4	104277953	Drama	aespa	Drama - The 4th Mini Album	2023-11-10	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	5	104553679	비의 랩소디	임재현	비의 랩소디	2023-12-03	이전 발매	발라드	가요	(주)지니뮤직	새벽테잎, IK PRODUCTION
2024-01-01	2024년	1	6	101407645	헤어지자 말해요	박재정	1집 Alone	2023-04-20	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	주식회사 로맨틱팩토리
2024-01-01	2024년	1	7	103151984	Love Lee	AKMU (악뮤)	Love Lee	2023-08-21	이전 발매	댄스	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	8	101268096	I AM	IVE (아이브)	I've IVE	2023-04-10	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	9	103903575	Baddie	IVE (아이브)	I'VE MINE	2023-10-13	이전 발매	R&B/소울	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	10	103151985	후라이의 꿈	AKMU (악뮤)	Love Lee	2023-08-21	이전 발매	댄스	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	11	95443285	인사	범진	인사	2021-12-24	이전 발매	인디	가요	(주)미러볼뮤직	JMG (더블엑스엔터테인먼트)
2024-01-01	2024년	1	12	103797393	You & Me	제니 (JENNIE)	JENNIE Special Single ［You & Me］	2023-10-06	이전 발매	댄스	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	13	102724316	ETA	NewJeans	NewJeans 2nd EP 'Get Up'	2023-07-21	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	14	102605425	사막에서 꽃을 피우듯	우디 (Woody)	사막에서 꽃을 피우듯	2023-07-14	이전 발매	발라드	가요	(주)지니뮤직	메이저나인
2024-01-01	2024년	1	15	99570005	Ditto	NewJeans	NewJeans 'OMG'	2023-01-02	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	16	104821618	에피소드	이무진	에피소드	2023-12-13	이전 발매	락	가요	주식회사 카카오엔터테인먼트	BIGPLANETMADE
2024-01-01	2024년	1	17	101686193	퀸카 (Queencard)	(여자)아이들	I feel	2023-05-15	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	큐브 엔터테인먼트
2024-01-01	2024년	1	18	102563175	Super Shy	NewJeans	NewJeans 2nd EP 'Get Up'	2023-07-21	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	19	102664199	Seven (Feat. Latto) (Clean Ver.)	정국	Seven (Clean Ver.)	2023-07-14	이전 발매	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2024-01-01	2024년	1	20	86931930	예뻤어	DAY6 (데이식스)	Every DAY6 February	2017-02-06	이전 발매	락	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2024-01-01	2024년	1	21	96424586	사건의 지평선	윤하 (YOUNHA)	YOUNHA 6th Album Repackage 'END THEORY : Final Edition'	2022-03-30	이전 발매	락	가요	주식회사 카카오엔터테인먼트	C9 ENTERTAINMENT
2024-01-01	2024년	1	22	97582507	Hype Boy	NewJeans	NewJeans 1st EP 'New Jeans'	2022-08-01	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	23	103289405	Smoke (Prod. by Dynamicduo & Padi)	다이나믹 듀오 & 이영지	스트릿 우먼 파이터2 (SWF2) 계급미션	2023-09-05	이전 발매	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2024-01-01	2024년	1	24	103024121	그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))	너드커넥션 (Nerd Connection)	그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))	2023-08-15	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO
2024-01-01	2024년	1	25	100522029	심 (心)	DK (디셈버)	심 (心)	2023-02-19	이전 발매	락	가요	주식회사 카카오엔터테인먼트	방구석 캐스팅
2024-01-01	2024년	1	26	98304971	I Don't Think That I Like Her	Charlie Puth	CHARLIE	2022-10-07	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records
2024-01-01	2024년	1	27	101064898	Kitsch	IVE (아이브)	I've IVE	2023-04-10	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	28	103622216	Either Way	IVE (아이브)	I'VE MINE	2023-10-13	이전 발매	R&B/소울	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	29	82280761	너의 모든 순간	성시경	별에서 온 그대 OST Part.7 (SBS 수목드라마)	2014-02-12	이전 발매	드라마	OST	주식회사 카카오엔터테인먼트	㈜SBS콘텐츠허브 (㈜에스비에스콘텐츠허브)
2024-01-01	2024년	1	30	96042335	사랑인가 봐	멜로망스 (MeloMance)	사랑인가 봐 (사내맞선 OST 스페셜 트랙)	2022-02-18	이전 발매	드라마	OST	주식회사 카카오엔터테인먼트	플렉스엠
2024-01-01	2024년	1	31	102531243	잘 지내자, 우리 (여름날 우리 X 로이킴)	로이킴	잘 지내자, 우리 (여름날 우리 X 로이킴)	2023-07-06	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO
2024-01-01	2024년	1	32	89220627	한 페이지가 될 수 있게	DAY6 (데이식스)	The Book of Us : Gravity	2019-07-15	이전 발매	락	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
